uniprot_id	protein_name	gene_names	protein_full_name
B3KUN1	B3KUN1	PPP2CA hCG_16586	Serine/threonine-protein phosphatase (EC 3.1.3.16)
Q494X3	ZN404	ZNF404	Zinc finger protein 404
A2RRC9	A2RRC9	IQGAP3	IQ motif containing GTPase activating protein 3
H0Y3H0	H0Y3H0	IFITM10	Interferon induced transmembrane protein 10
A8MPS7	YDJC	YDJC	Carbohydrate deacetylase (EC 3.5.1.-)
Q8NGL6	O4A15	OR4A15	Olfactory receptor 4A15 (Olfactory receptor OR11-118)
P0CB48	UBFL6	UBTFL6	Putative upstream-binding factor 1-like protein 6
O60687	SRPX2	SRPX2 SRPUL	Sushi repeat-containing protein SRPX2 (Sushi-repeat protein upregulated in leukemia)
Q76GR4	Q76GR4	LIG1	Ligase I, DNA, ATP-dependent
Q8NGC5	OR6J1	OR6J1 OR6J2	Olfactory receptor 6J1 (Olfactory receptor 6J2)
Q6I9S7	Q6I9S7	CXCL5 hCG_16364	C-X-C motif chemokine
Q9NYF5	FA13B	FAM13B C5orf5 FAM13B1	Protein FAM13B (GAP-like protein N61)
Q14406	CSHL	CSHL1 CSHP1 CSL	Chorionic somatomammotropin hormone-like 1 (Chorionic somatomammotropin-like) (Lactogen-like)
Q7Z6K4	NRARP	NRARP	Notch-regulated ankyrin repeat-containing protein
A0A087WWP4	A0A087WWP4	RBM15	RNA-binding protein 15 (One-twenty two protein 1) (RNA-binding motif protein 15)
K7EJE6	K7EJE6	FMNL1	Formin like 1
O15370	SOX12	SOX12 SOX22	Transcription factor SOX-12 (Protein SOX-22)
Q96SQ7	ATOH8	ATOH8 ATH6 BHLHA21	Transcription factor ATOH8 (Class A basic helix-loop-helix protein 21) (bHLHa21) (Helix-loop-helix protein hATH-6) (hATH6) (Protein atonal homolog 8)
Q9NUV9	GIMA4	GIMAP4 IAN1 IMAP4 MSTP062	GTPase IMAP family member 4 (Immunity-associated nucleotide 1 protein) (IAN-1) (hIAN1) (Immunity-associated protein 4)
Q53GD3	CTL4	SLC44A4 C6orf29 CTL4 NG22 TPPT1 UNQ441/PRO874	Choline transporter-like protein 4 (Solute carrier family 44 member 4) (Thiamine pyrophosphate transporter 1) (hTPPT1)
E7EV46	ERCC6	ERCC6 CSB	DNA excision repair protein ERCC-6 (EC 3.6.4.-) (ATP-dependent helicase ERCC6) (Cockayne syndrome protein CSB)
P51508	ZNF81	ZNF81	Zinc finger protein 81 (HFZ20)
Q9Y2S2	CRYL1	CRYL1 CRY	Lambda-crystallin homolog (EC 1.1.1.45) (L-gulonate 3-dehydrogenase) (Gul3DH)
Q8N7X2	STPG3	STPG3 C9orf173	Protein STPG3 (Sperm-tail PG-rich repeat-containing protein 3)
Q5BJH1	Q5BJH1	PSAP	PSAP protein
O43272	PROD	PRODH PIG6 POX2 PRODH2	Proline dehydrogenase 1, mitochondrial (EC 1.5.5.2) (Proline oxidase) (Proline oxidase 2) (p53-induced gene 6 protein)
Q5VZ66	JKIP3	JAKMIP3 C10orf14 C10orf39 JAMIP3 NECC2	Janus kinase and microtubule-interacting protein 3 (Neuroendocrine long coiled-coil protein 2)
Q70J99	UN13D	UNC13D	Protein unc-13 homolog D (Munc13-4)
Q9HBE5	IL21R	IL21R NILR UNQ3121/PRO10273	Interleukin-21 receptor (IL-21 receptor) (IL-21R) (Novel interleukin receptor) (CD antigen CD360)
P01906	DQA2	HLA-DQA2 HLA-DXA	HLA class II histocompatibility antigen, DQ alpha 2 chain (DX alpha chain) (HLA class II histocompatibility antigen, DQ(6) alpha chain) (HLA-DQA1) (MHC class II DQA2)
H0YMR4	H0YMR4	IPO4	Importin 4
Q15166	PON3	PON3	Serum paraoxonase/lactonase 3 (EC 3.1.1.2) (EC 3.1.1.81) (EC 3.1.8.1)
Q8N4L4	SPEM1	SPEM1 C17orf83	Spermatid maturation protein 1
Q86V86	PIM3	PIM3	Serine/threonine-protein kinase pim-3 (EC 2.7.11.1)
Q9Y2P7	ZN256	ZNF256 BMZF3	Zinc finger protein 256 (Bone marrow zinc finger 3) (BMZF-3)
Q2M3K9	Q2M3K9	PSORS1C1	PSORS1C1 protein (Psoriasis susceptibility 1 candidate 1)
Q8IV42	PSTK	PSTK C10orf89	L-seryl-tRNA(Sec) kinase (EC 2.7.1.164) (O-phosphoseryl-tRNA(Sec) kinase)
Q8TE59	ATS19	ADAMTS19	A disintegrin and metalloproteinase with thrombospondin motifs 19 (ADAM-TS 19) (ADAM-TS19) (ADAMTS-19) (EC 3.4.24.-)
Q6NXQ4	Q6NXQ4	UBE2S	E2 ubiquitin-conjugating enzyme (EC 2.3.2.23)
P78363	ABCA4	ABCA4 ABCR	Retinal-specific phospholipid-transporting ATPase ABCA4 (EC 7.6.2.1) (ATP-binding cassette sub-family A member 4) (RIM ABC transporter) (RIM proteinv) (RmP) (Retinal-specific ATP-binding cassette transporter) (Stargardt disease protein)
A4D126	ISPD	CRPPA ISPD	D-ribitol-5-phosphate cytidylyltransferase (EC 2.7.7.40) (2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase-like protein) (Isoprenoid synthase domain-containing protein) (hISPD)
Q8N7S6	ARI2O	ARIH2OS C3orf71	Uncharacterized protein ARIH2OS (Ariadne-2 homolog opposite strand protein)
Q8N8D9	IRAS1		deleted
X6R9J3	X6R9J3	PRUNE2	Prune homolog 2 with BCH domain
Q8WWQ8	STAB2	STAB2 FEEL2 FELL FEX2 HARE	Stabilin-2 (FAS1 EGF-like and X-link domain-containing adhesion molecule 2) (Fasciclin, EGF-like, laminin-type EGF-like and link domain-containing scavenger receptor 2) (FEEL-2) (Hyaluronan receptor for endocytosis) [Cleaved into: 190 kDa form stabilin-2 (190 kDa hyaluronan receptor for endocytosis)]
A0A0S2Z5Y6	A0A0S2Z5Y6	UCK1	uridine/cytidine kinase (EC 2.7.1.48)
Q9HBV1	POPD3	POPDC3 POP3	Popeye domain-containing protein 3 (Popeye protein 3)
Q5SYB0	FRPD1	FRMPD1 FRMD2 KIAA0967	FERM and PDZ domain-containing protein 1 (FERM domain-containing protein 2)
Q8IZ48	Q8IZ48	FBF1	Fas (TNFRSF6) binding factor 1
A0A1B0GVM0	A0A1B0GVM0	BEGAIN	Brain enriched guanylate kinase associated
Q96RS2	Q96RS2	RPSA	Small ribosomal subunit protein uS2 (37 kDa laminin receptor precursor) (37LRP) (37/67 kDa laminin receptor) (LRP/LR) (67 kDa laminin receptor) (67LR) (Laminin receptor 1) (LamR) (Laminin-binding protein precursor p40) (LBP/p40)
O96024	B3GT4	B3GALT4 GALT4	Beta-1,3-galactosyltransferase 4 (Beta-1,3-GalTase 4) (Beta3Gal-T4) (Beta3GalT4) (GalT4) (b3Gal-T4) (EC 2.4.1.62) (Gal-T2) (Ganglioside galactosyltransferase) (UDP-galactose:beta-N-acetyl-galactosamine-beta-1,3-galactosyltransferase)
P0CH99	Z705D	ZNF705D	Zinc finger protein 705D
Q6U841	S4A10	SLC4A10 NBCN2 NCBE	Sodium-driven chloride bicarbonate exchanger (Solute carrier family 4 member 10)
J3QR12	J3QR12	ASPSCR1	ASPSCR1 tether for SLC2A4, UBX domain containing
Q6ZV60	YL023	LINC00173 NCRNA00173	Putative uncharacterized protein encoded by LINC00173
X5DP48	X5DP48	ADSL	Adenylosuccinate lyase (EC 4.3.2.2) (Adenylosuccinase)
Q0VAA5	PLCX2	PLCXD2	PI-PLC X domain-containing protein 2 (Phospholipase C X-domain containing protein 2) (PLCXD-2)
Q92967	Q92967	ZF6	Zinc finger protein zfp6
Q5U649	CL060	C12orf60	Uncharacterized protein C12orf60
Q15493	RGN	RGN SMP30	Regucalcin (RC) (Gluconolactonase) (GNL) (EC 3.1.1.17) (Senescence marker protein 30) (SMP-30)
A0A087WTQ2	A0A087WTQ2		deleted
Q6UWV2	MPZL3	MPZL3 UNQ2966/PRO7425	Myelin protein zero-like protein 3
Q6UE05	TM270	TMEM270 WBSCR28	Transmembrane protein 270 (Williams-Beuren syndrome chromosomal region 28 protein)
Q495B1	AKD1A	ANKDD1A	Ankyrin repeat and death domain-containing protein 1A
P22760	AAAD	AADAC DAC	Arylacetamide deacetylase (EC 3.1.1.3)
P0CJ68	HMN1	MTRNR2L1	Humanin-like 1 (HN1) (MT-RNR2-like protein 1)
Q9BWF4	Q9BWF4	MCM2	DNA helicase (EC 3.6.4.12)
Q3KRB4	Q3KRB4	MRPS33	Small ribosomal subunit protein mS33
A0A0C4DGJ8	A0A0C4DGJ8		deleted
H0YAD6	H0YAD6	TRIM41	Tripartite motif containing 41
P14151	LYAM1	SELL LNHR LYAM1	L-selectin (CD62 antigen-like family member L) (Leukocyte adhesion molecule 1) (LAM-1) (Leukocyte surface antigen Leu-8) (Leukocyte-endothelial cell adhesion molecule 1) (LECAM1) (Lymph node homing receptor) (TQ1) (gp90-MEL) (CD antigen CD62L)
O95177	GAAS1	GAS8-AS1 C16orf3	Uncharacterized protein GAS8-AS1 (GAS8 antisense RNA 1) (GAS8 antisense gene protein 1)
A6NC42	DPPA5	DPPA5 ESG1	Developmental pluripotency-associated 5 protein (hDPPA5) (Embryonal stem cell-specific gene 1 protein) (ESG-1)
Q15878	CAC1E	CACNA1E CACH6 CACNL1A6	Voltage-dependent R-type calcium channel subunit alpha-1E (Brain calcium channel II) (BII) (Calcium channel, L type, alpha-1 polypeptide, isoform 6) (Voltage-gated calcium channel subunit alpha Cav2.3)
Q9BXB7	SPT16	SPATA16	Spermatogenesis-associated protein 16 (Testis development protein NYD-SP12)
Q96HZ7	URAS1	URB1-AS1 C21orf119 PRED84	Putative uncharacterized protein URB1-AS1 (URB1 antisense RNA 1) (URB1 antisense gene protein 1)
Q7Z449	CP2U1	CYP2U1	Cytochrome P450 2U1 (Long-chain fatty acid omega-monooxygenase) (EC 1.14.14.80)
P0DMR2	SG1C2	SCGB1C2	Secretoglobin family 1C member 2
A6NF79	ZN734		deleted
Q6N089	Q6N089	DKFZp686P15220	Ig-like domain-containing protein
Q6GV28	TM225	TMEM225 PMP22CD	Transmembrane protein 225
A0PG75	PLS5	PLSCR5	Phospholipid scramblase family member 5
Q8IVZ9	Q8IVZ9	NR2E3	NR2E3 protein (Nuclear receptor subfamily 2 group E member 3)
Q9UM01	YLAT1	SLC7A7	Y+L amino acid transporter 1 (Monocyte amino acid permease 2) (MOP-2) (Solute carrier family 7 member 7) (y(+)L-type amino acid transporter 1) (Y+LAT1) (y+LAT-1)
O15403	MOT7	SLC16A6 MCT6 MCT7	Monocarboxylate transporter 7 (MCT 7) (Monocarboxylate transporter 6) (MCT 6) (Solute carrier family 16 member 6)
G3V3U5	G3V3U5	GALT	Galactose-1-phosphate uridylyltransferase
Q9BZD2	S29A3	SLC29A3 ENT3 UNQ717/PRO1380	Equilibrative nucleoside transporter 3 (hENT3) (Solute carrier family 29 member 3)
A0A0S2Z6I7	A0A0S2Z6I7	C6orf142	Chromosome 6 open reading frame 142 isoform 2
A6NMB9	FIGL2	FIGNL2	Fidgetin-like protein 2 (EC 3.6.4.-)
Q9Y5P1	O51B2	OR51B2 OR51B1P	Olfactory receptor 51B2 (Odorant receptor HOR5'beta3) (Olfactory receptor 51B1)
A0A0S2Z328	A0A0S2Z328	BBS4	Bardet-Biedl syndrome 4 isoform 3
Q96GP6	SREC2	SCARF2 SREC2 SREPCR	Scavenger receptor class F member 2 (SRECRP-1) (Scavenger receptor expressed by endothelial cells 2 protein) (SREC-II)
Q5VZ46	K1614	KIAA1614	Uncharacterized protein KIAA1614
A6ND91	ASPDH	ASPDH	Aspartate dehydrogenase domain-containing protein
Q9BRG6	Q9BRG6	APOL4 hCG_41448	APOL4 protein (Apolipoprotein L, 4, isoform CRA_c) (Apolipoprotein L4)
A0A0S2Z5Z3	A0A0S2Z5Z3	C6orf142	Chromosome 6 open reading frame 142 isoform 6
O94759	TRPM2	TRPM2 EREG1 KNP3 LTRPC2 TRPC7	Transient receptor potential cation channel subfamily M member 2 (Estrogen-responsive element-associated gene 1 protein) (Long transient receptor potential channel 2) (LTrpC-2) (LTrpC2) (Transient receptor potential channel 7) (TrpC7) (Transient receptor potential melastatin 2)
P0CG42	F157B	FAM157B	Putative protein FAM157B
Q9HCC9	LST2	ZFYVE28 KIAA1643 LST2	Lateral signaling target protein 2 homolog (hLst2) (Zinc finger FYVE domain-containing protein 28)
Q6ZTR5	CFA47	CFAP47 CHDC2 CXorf22 CXorf30 CXorf59	Cilia- and flagella-associated protein 47
Q9BXS0	COPA1	COL25A1	Collagen alpha-1(XXV) chain (Alzheimer disease amyloid-associated protein) (AMY) (CLAC-P) [Cleaved into: Collagen-like Alzheimer amyloid plaque component (CLAC)]
Q96BX8	MOB3A	MOB3A MOBKL2A	MOB kinase activator 3A (MOB-LAK) (Mob1 homolog 2A) (Mps one binder kinase activator-like 2A)
Q9ULL1	PKHG1	PLEKHG1 KIAA1209	Pleckstrin homology domain-containing family G member 1
Q5T7Y4	Q5T7Y4	S100A1	S100 calcium binding protein A1
Q6IAM7	Q6IAM7	SPC18	Signal peptidase complex catalytic subunit SEC11 (EC 3.4.21.89)
O76100	OR7AA	OR7A10	Olfactory receptor 7A10 (OST027) (Olfactory receptor OR19-18)
A0A7P0TAB9	A0A7P0TAB9	COBLL1 hCG_39012	COBL-like 1, isoform CRA_d (Cordon-bleu WH2 repeat protein like 1)
Q8IWW8	HOT	ADHFE1 HMFT2263	Hydroxyacid-oxoacid transhydrogenase, mitochondrial (HOT) (EC 1.1.99.24) (Alcohol dehydrogenase iron-containing protein 1) (ADHFe1) (Fe-containing alcohol dehydrogenase)
D6RF47	WNT8A	WNT8A WNT8D	Protein Wnt-8a (Protein Wnt-8d)
Q5TGY1	TMCO4	TMCO4	Transmembrane and coiled-coil domain-containing protein 4
D6REX0	D6REX0	ADAMTS12	ADAM metallopeptidase with thrombospondin type 1 motif 12
Q2YDB1	Q2YDB1	RASGRP2	RAS guanyl-releasing protein 2 (Calcium and DAG-regulated guanine nucleotide exchange factor I)
A0PJK1	SC5AA	SLC5A10 SGLT5	Sodium/mannose cotransporter SLC5A10 (Sodium/glucose cotransporter 5) (Na(+)/glucose cotransporter 5) (Solute carrier family 5 member 10)
Q96DS6	M4A6E	MS4A6E	Membrane-spanning 4-domains subfamily A member 6E
O75185	AT2C2	ATP2C2 KIAA0703 SPCA2	Calcium-transporting ATPase type 2C member 2 (ATPase 2C2) (EC 7.2.2.10) (Ca(2+)/Mn(2+)-ATPase 2C2) (Secretory pathway Ca(2+)-transporting ATPase type 2) (SPCA2)
Q56A76	Q56A76	SMARCA2	SMARCA2 protein
A8MWX3	WASH4	WASH4P FAM39CP	Putative WAS protein family homolog 4 (Protein FAM39CP)
A0A0S2Z5F8	A0A0S2Z5F8	LMBR1L	Limb region 1-like protein-like isoform 2
Q9Y2V3	RX	RAX RX	Retinal homeobox protein Rx (Retina and anterior neural fold homeobox protein)
Q13753	LAMC2	LAMC2 LAMB2T LAMNB2	Laminin subunit gamma-2 (Cell-scattering factor 140 kDa subunit) (CSF 140 kDa subunit) (Epiligrin subunit gamma) (Kalinin subunit gamma) (Kalinin/nicein/epiligrin 100 kDa subunit) (Ladsin 140 kDa subunit) (Laminin B2t chain) (Laminin-5 subunit gamma) (Large adhesive scatter factor 140 kDa subunit) (Nicein subunit gamma)
Q9H2A3	NGN2	NEUROG2 ATOH4 BHLHA8 NGN2	Neurogenin-2 (NGN-2) (Class A basic helix-loop-helix protein 8) (bHLHa8) (Protein atonal homolog 4)
F8VRF7	F8VRF7	PCED1B	PC-esterase domain containing 1B
E7EUL8	E7EUL8	MPP4	MAGUK p55 subfamily member 4 (Discs large homolog 6)
Q8NEE8	TTC16	TTC16	Tetratricopeptide repeat protein 16 (TPR repeat protein 16)
Q9UFQ0	Q9UFQ0	DKFZp434K0435	Uncharacterized protein DKFZp434K0435
Q96KX0	LYZL4	LYZL4 LYC4	Lysozyme-like protein 4 (Lysozyme-4)
X5DP27	X5DP27	TBX6	T-box transcription factor TBX6
O95965	ITGBL	ITGBL1 OSCP TIED	Integrin beta-like protein 1 (Osteoblast-specific cysteine-rich protein) (Ten integrin EGF-like repeat domain-containing protein)
A4D2J0	A4D2J0	YKT6 hCG_18297 tcag7.798	Synaptobrevin homolog YKT6
A7E2U8	CFA96	CFAP96 C4orf47	Cilia-and flagella-associated protein 96
Q86UQ4	ABCAD	ABCA13	ATP-binding cassette sub-family A member 13 (EC 7.6.2.-)
P28328	PEX2	PEX2 PAF1 PMP3 PMP35 PXMP3 RNF72	Peroxisome biogenesis factor 2 (EC 2.3.2.27) (EC 2.3.2.36) (35 kDa peroxisomal membrane protein) (Peroxin-2) (Peroxisomal membrane protein 3) (Peroxisome assembly factor 1) (PAF-1) (RING finger protein 72)
Q9BTH3	Q9BTH3	BIN1	Bridging integrator 1
Q15053	K0040	KIAA0040	Uncharacterized protein KIAA0040
Q8IZU8	DSEL	DSEL C18orf4 NCAG1	Dermatan-sulfate epimerase-like protein (EC 5.1.-.-)
A0A0S2Z442	A0A0S2Z442	NDN	Necdin-like protein isoform 4
A5PLK6	RGSL	RGSL1 RGSL RGSL2	Regulator of G-protein signaling protein-like
Q9NZH7	IL36B	IL36B IL1F8 IL1H2	Interleukin-36 beta (FIL1 eta) (Interleukin-1 eta) (IL-1 eta) (Interleukin-1 family member 8) (IL-1F8) (Interleukin-1 homolog 2) (IL-1H2)
Q9HBI6	CP4FB	CYP4F11	Cytochrome P450 4F11 (CYPIVF11) (EC 1.14.14.1) (3-hydroxy fatty acids omega-hydroxylase CYP4F11) (Docosahexaenoic acid omega-hydroxylase) (EC 1.14.14.79) (Long-chain fatty acid omega-monooxygenase) (EC 1.14.14.80) (Phylloquinone omega-hydroxylase CYP4F11) (EC 1.14.14.78)
Q5TAT6	CODA1	COL13A1	Collagen alpha-1(XIII) chain (COLXIIIA1)
P15088	CBPA3	CPA3	Mast cell carboxypeptidase A (MC-CPA) (EC 3.4.17.1) (Carboxypeptidase A3)
Q9Y694	S22A7	SLC22A7 NLT OAT2	Solute carrier family 22 member 7 (Novel liver transporter) (NLT) (Organic anion transporter 2) (hOAT2)
Q8NFY4	SEM6D	SEMA6D KIAA1479	Semaphorin-6D
O95013	O4F21	OR4F21 OR4F21P	Olfactory receptor 4F21
Q9HCQ7	NPVF	NPVF C7orf9 RFRP	Pro-FMRFamide-related neuropeptide VF [Cleaved into: Neuropeptide NPSF; Neuropeptide RFRP-1; Neuropeptide RFRP-2; Neuropeptide NPVF (Neuropeptide RFRP-3)]
F5H1M0	F5H1M0		deleted
P40261	NNMT	NNMT	Nicotinamide N-methyltransferase (EC 2.1.1.1)
Q5QT33	Q5QT33	HLA-C HLAC	HLA class I antigen (HLA class I histocompatibility antigen C alpha chain) (HLA class I histocompatibility antigen Cw-1 alpha chain) (HLA-C alpha chain) (MHC class I antigen) (Major histocompatibility complex, class I, C)
Q53GA4	PHLA2	PHLDA2 BWR1C HLDA2 IPL TSSC3	Pleckstrin homology-like domain family A member 2 (Beckwith-Wiedemann syndrome chromosomal region 1 candidate gene C protein) (Imprinted in placenta and liver protein) (Tumor-suppressing STF cDNA 3 protein) (Tumor-suppressing subchromosomal transferable fragment candidate gene 3 protein) (p17-Beckwith-Wiedemann region 1 C) (p17-BWR1C)
Q86VD9	PIGZ	PIGZ SMP3	GPI alpha-1,2-mannosyltransferase 4 (EC 2.4.1.-) (GPI mannosyltransferase IV) (GPI-MT-IV) (Phosphatidylinositol-glycan biosynthesis class Z protein) (PIG-Z) (SMP3 homolog) (hSMP3)
O94819	KBTBB	KBTBD11 CMLAP KIAA0711 KLHDC7C	Kelch repeat and BTB domain-containing protein 11 (Chronic myelogenous leukemia-associated protein) (Kelch domain-containing protein 7B)
Q9Y233	PDE10	PDE10A	cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10A (EC 3.1.4.17)
B5MCR8	B5MCR8	SLC30A6 hCG_23082	Solute carrier family 30 (Zinc transporter), member 6, isoform CRA_b (Solute carrier family 30 member 6)
Q5U4P2	ASPH1	ASPHD1	Aspartate beta-hydroxylase domain-containing protein 1 (EC 1.14.11.-)
P02812	PRB2	PRB2	Basic salivary proline-rich protein 2 (Salivary proline-rich protein) (Con1 glycoprotein) [Cleaved into: Basic proline-rich peptide IB-1; Basic proline-rich peptide P-E (IB-9); Basic proline-rich peptide IB-7; Basic proline-rich peptide IB-8c (Basic peptide P-F); Basic proline-rich peptide IB-4]
A0A0A0MTS8	A0A0A0MTS8	FDX2	Adrenodoxin-like protein
Q9BWG1	Q9BWG1	RNF220	RNF220 protein
Q6UYE1	LEU7	DLEU7 LEU7	Leukemia-associated protein 7 (Deleted in lymphocytic leukemia 7)
Q8IVV8	NKAI4	NKAIN4 C20orf58 FAM77A	Sodium/potassium-transporting ATPase subunit beta-1-interacting protein 4 (Na(+)/K(+)-transporting ATPase subunit beta-1-interacting protein 4) (Protein FAM77A)
A6NFM0	A6NFM0	POLR2J2	RNA polymerase II subunit J2
O43280	TREA	TREH TREA	Trehalase (EC 3.2.1.28) (Alpha,alpha-trehalase) (Alpha,alpha-trehalose glucohydrolase)
O43155	FLRT2	FLRT2 KIAA0405 UNQ232/PRO265	Leucine-rich repeat transmembrane protein FLRT2 (Fibronectin-like domain-containing leucine-rich transmembrane protein 2)
Q6P161	RM54	MRPL54	Large ribosomal subunit protein mL54 (39S ribosomal protein L54, mitochondrial) (L54mt) (MRP-L54)
Q8NF67	A2012	ANKRD20A12P	Putative ankyrin repeat domain-containing protein 20A12 pseudogene
P01912	DRB1	HLA-DRB1	HLA class II histocompatibility antigen, DRB1 beta chain (Human leukocyte antigen DRB1) (HLA-DRB1)
Q12794	HYAL1	HYAL1 LUCA1	Hyaluronidase-1 (Hyal-1) (EC 3.2.1.35) (Hyaluronoglucosaminidase-1) (Lung carcinoma protein 1) (LuCa-1)
P05160	F13B	F13B	Coagulation factor XIII B chain (Fibrin-stabilizing factor B subunit) (Protein-glutamine gamma-glutamyltransferase B chain) (Transglutaminase B chain)
Q5H919	Q5H919	HTATSF1	HIV-1 Tat specific factor 1
P0C881	R10B1	RSPH10B	Radial spoke head 10 homolog B
A4QPH2	PI4P2	PI4KAP2	Putative phosphatidylinositol 4-kinase alpha-like protein P2
Q9BXH2	Q9BXH2	STAT3	STAT3
Q8N2H3	PYRD2	PYROXD2 C10orf33	Pyridine nucleotide-disulfide oxidoreductase domain-containing protein 2 (EC 1.-.-.-)
Q3KNW7	Q3KNW7	FKSG83 hCG_1820928	Vomeronasal type-1 receptor
P23677	IP3KA	ITPKA	Inositol-trisphosphate 3-kinase A (EC 2.7.1.127) (Inositol 1,4,5-trisphosphate 3-kinase A) (IP3 3-kinase A) (IP3K A) (InsP 3-kinase A)
Q6IN51	Q6IN51	PER1	PER1 protein
Q9Y6A2	CP46A	CYP46A1 CYP46	Cholesterol 24-hydroxylase (CH24H) (EC 1.14.14.25) (Cholesterol 24-monooxygenase) (Cholesterol 24S-hydroxylase) (Cytochrome P450 46A1)
J3QSZ5	J3QSZ5	SON	Protein SON (Negative regulatory element-binding protein)
A6NKU9	SPDE3	SPDYE3	Speedy protein E3
Q8IVU3	HERC6	HERC6	Probable E3 ubiquitin-protein ligase HERC6 (EC 2.3.2.26) (HECT domain and RCC1-like domain-containing protein 6) (HECT-type E3 ubiquitin transferase HERC6)
Q8TDZ3	Q8TDZ3	MYHbeta	MYHbeta
Q96FB5	MT25B	METTL25B C1orf66 RRNAD1 CGI-41	Methyltransferase-like protein 25B (Protein RRNAD1) (Ribosomal RNA adenine dimethylase domain-containing protein 1)
Q9C056	NKX62	NKX6-2 GTX NKX6B	Homeobox protein Nkx-6.2 (Homeobox protein NK-6 homolog B)
Q7Z4G2	Q7Z4G2	MST075	MSTP075
Q9NYL4	FKB11	FKBP11 FKBP19 UNQ336/PRO535	Peptidyl-prolyl cis-trans isomerase FKBP11 (PPIase FKBP11) (EC 5.2.1.8) (19 kDa FK506-binding protein) (19 kDa FKBP) (FKBP-19) (FK506-binding protein 11) (FKBP-11) (Rotamase)
P31391	SSR4	SSTR4	Somatostatin receptor type 4 (SS-4-R) (SS4-R) (SS4R) (SST4)
E5RI97	E5RI97	DCTN4	Dynactin subunit 4
Q9UBY8	CLN8	CLN8 C8orf61	Protein CLN8
P31512	FMO4	FMO4 FMO2	Dimethylaniline monooxygenase [N-oxide-forming] 4 (EC 1.14.13.8) (Dimethylaniline oxidase 4) (Hepatic flavin-containing monooxygenase 4) (FMO 4)
O15050	TRNK1	TRANK1 KIAA0342 LBA1	TPR and ankyrin repeat-containing protein 1 (Lupus brain antigen 1 homolog)
A8MY60	A8MY60	LRRIQ1	Leucine rich repeats and IQ motif containing 1
O75264	SIM24	SMIM24 C19orf77 HSPC323	Small integral membrane protein 24
P14207	FOLR2	FOLR2	Folate receptor beta (FR-beta) (Folate receptor 2) (Folate receptor, fetal/placental) (Placental folate-binding protein) (FBP)
Q6ZN19	ZN841	ZNF841	Zinc finger protein 841
F5H2U7	F5H2U7	NECAP1	NECAP endocytosis associated 1
Q3C1V8	BSH	BSX BSX1	Brain-specific homeobox protein homolog
Q96FA6	Q96FA6	NCAPD3	NCAPD3 protein
Q8WZ04	TOMT	TOMT COMT2 LRTOMT PP7517	Transmembrane O-methyltransferase (EC 2.1.1.6) (Catechol O-methyltransferase 2) (Protein LRTOMT2)
O60423	AT8B3	ATP8B3 ATP1K FOS37502_2	Phospholipid-transporting ATPase IK (EC 7.6.2.1) (ATPase class I type 8B member 3)
A0A087WW66	A0A087WW66	PSMD1	26S proteasome non-ATPase regulatory subunit 1
C9JPP7	C9JPP7	C1orf87	Chromosome 1 open reading frame 87
Q8WXT5	FX4L4	FOXD4L4 FOXD4B FOXD4L2	Forkhead box protein D4-like 4 (FOXD4-like 4) (Forkhead box protein D4-like 2) (Forkhead box protein D4B) (Myeloid factor-gamma)
P61129	ZC3H6	ZC3H6 KIAA2035 ZC3HDC6	Zinc finger CCCH domain-containing protein 6
Q8TC36	SUN5	SUN5 SPAG4L TSARG4	SUN domain-containing protein 5 (Sad1 and UNC84 domain-containing protein 5) (Sperm-associated antigen 4-like protein) (Testis and spermatogenesis-related gene 4 protein)
Q68D20	PMS2L	PMS2CL PMS2P13	Protein PMS2CL (PMS2-C terminal-like protein)
B1ALR7	B1ALR7	FANCC	FA complementation group C
Q6ZVT6	CF20D	CFAP20DC C3orf67	Protein CFAP20DC (Uncharacterized protein C3orf67)
Q5T742	ZFAS1	ZNF22-AS1 C10orf25	Uncharacterized protein ZNF22-AS1 (ZNF22 antisense RNA 1)
Q08AH3	ACS2A	ACSM2A ACSM2 MACS2	Acyl-coenzyme A synthetase ACSM2A, mitochondrial (EC 6.2.1.2) (Acyl-CoA synthetase medium-chain family member 2A) (Benzoate--CoA ligase) (EC 6.2.1.25) (Butyrate--CoA ligase 2A) (Butyryl-coenzyme A synthetase 2A) (Middle-chain acyl-CoA synthetase 2A)
P32314	FOXN2	FOXN2 HTLF	Forkhead box protein N2 (Human T-cell leukemia virus enhancer factor)
A0A087WZB2	TYW1B	TYW1B RSAFD2	S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase TYW1B (EC 4.1.3.44) (Radical S-adenosyl methionine and flavodoxin domain-containing protein 2) (tRNA wybutosine-synthesizing protein 1 homolog B)
B1ALY0	B1ALY0	PALM2AKAP2	PALM2 and AKAP2 fusion
Q9BUF9	MYL9	MYL9 MLC2 MRLC1 MYRL2	Myosin regulatory light polypeptide 9 (20 kDa myosin light chain) (LC20) (MLC-2C) (Myosin RLC) (Myosin regulatory light chain 2, smooth muscle isoform) (Myosin regulatory light chain 9) (Myosin regulatory light chain MRLC1)
